Date,Organization Name,Amount,Cause Area,org_cause
2019-06-01,Humane Society International India,1039124.0,Animal Welfare,Humane Society International India|Animal Welfare
2019-06-01,Sentient Media,100000.0,Animal Welfare,Sentient Media|Animal Welfare
2019-06-01,Center for Global Development,3000000.0,Global Health,Center for Global Development|Global Health
2019-06-01,Animals Australia Federation,48324.0,Animal Welfare,Animals Australia Federation|Animal Welfare
2019-06-01,Sinergia Animal,187600.0,Animal Welfare,Sinergia Animal|Animal Welfare
2019-06-01,Federation of Indian Animal Protection Organisations,445000.0,Animal Welfare,Federation of Indian Animal Protection Organisations|Animal Welfare
2019-05-01,Global Catastrophic Risks Scholarships,437800.0,Longtermism,Global Catastrophic Risks Scholarships|Longtermism
2019-05-01,Asia Research & Engagement,340875.0,Animal Welfare,Asia Research & Engagement|Animal Welfare
2019-05-01,Altruistic Technology Labs,440525.0,Longtermism,Altruistic Technology Labs|Longtermism
2019-05-01,Open Phil AI Fellowship,2325000.0,Longtermism,Open Phil AI Fellowship|Longtermism
2019-05-01,The Greenfield Project,250000.0,Animal Welfare,The Greenfield Project|Animal Welfare
2019-05-01,Animal Kingdom Foundation,17000.0,Animal Welfare,Animal Kingdom Foundation|Animal Welfare
2019-04-01,Anima,367222.0,Animal Welfare,Anima|Animal Welfare
2019-04-01,FAI Farms,426000.0,Animal Welfare,FAI Farms|Animal Welfare
2019-04-01,World Animal Protection,781498.0,Animal Welfare,World Animal Protection|Animal Welfare
2019-04-01,FAI Farms,107200.0,Animal Welfare,FAI Farms|Animal Welfare
2019-04-01,Tampere University,15000.0,Longtermism,Tampere University|Longtermism
2019-03-01,Compassion in World Farming,1891890.0,Animal Welfare,Compassion in World Farming|Animal Welfare
2019-03-01,Massachusetts Institute of Technology Media Lab,1000000.0,Longtermism,Massachusetts Institute of Technology Media Lab|Longtermism
2019-03-01,Soko Tierschutz,100000.0,Animal Welfare,Soko Tierschutz|Animal Welfare
2019-03-01,Evidence Action ,7751915.0,Global Health,Evidence Action |Global Health
2019-03-01,Evidence Action,800000.0,Global Health,Evidence Action|Global Health
2019-03-01,New York University,125840.0,Animal Welfare,New York University|Animal Welfare
2019-03-01,Schistosomiasis Control Initiative,2500000.0,Global Health,Schistosomiasis Control Initiative|Global Health
2019-03-01,IDInsight,184324.0,Global Health,IDInsight|Global Health
2019-03-01,Claremont Graduate University,57000.0,Animal Welfare,Claremont Graduate University|Animal Welfare
2019-03-01,IDinsight ,474374.0,Global Health,IDinsight |Global Health
2019-03-01,Humane Slaughter Association,570402.0,Animal Welfare,Humane Slaughter Association|Animal Welfare
2019-03-01,Sinergia Animal,245000.0,Animal Welfare,Sinergia Animal|Animal Welfare
2019-03-01,The Humane League,1565000.0,Animal Welfare,The Humane League|Animal Welfare
2019-03-01,Rethink Priorities,200000.0,Animal Welfare,Rethink Priorities|Animal Welfare
2019-02-01,Jeanne Marchig International Centre for Animal Welfare Education,368188.0,Animal Welfare,Jeanne Marchig International Centre for Animal Welfare Education|Animal Welfare
2019-02-01,Machine Intelligence Research Institute,2652500.0,Longtermism,Machine Intelligence Research Institute|Longtermism
